State,District,Crop,Season,SowingMonth,Area(ha),N(kg/ha),P(kg/ha),K(kg/ha),SoilType,AnnualRainfall(mm),AvgTemperature(C),Yield(t/ha)
Karnataka,Belgaum,Cotton,Kharif,July,3.87,53,69,29,Clay,1072,28.3,23.44
Punjab,Ludhiana,Wheat,Rabi,November,1.15,73,64,95,Red,721,27.7,25.27
Punjab,Amritsar,Sugarcane,Rabi,April,7.11,53,75,22,Red,531,23.5,207.89
Maharashtra,Pune,Rice,Kharif,April,7.7,113,83,72,Sandy,840,31.0,31.3
Andhra Pradesh,Guntur,Tomato,Zaid,January,6.64,89,87,34,Clay,668,24.4,144.22
West Bengal,Darjeeling,Corn,Annual,July,4.71,79,31,59,Sandy,505,29.2,23.79
Karnataka,Mandya,Rice,Kharif,March,6.27,161,100,50,Sandy,1071,23.2,41.91
Maharashtra,Pune,Sugarcane,Rabi,December,7.47,145,37,35,Clay,642,28.3,290.38
Tamil Nadu,Thanjavur,Sugarcane,Rabi,July,5.57,109,80,37,Loamy,690,34.3,328.31
Andhra Pradesh,Guntur,Corn,Rabi,December,9.22,116,80,85,Loamy,427,21.7,36.3
Maharashtra,Pune,Cotton,Rabi,July,5.79,93,81,85,Loamy,551,23.9,28.7
Uttar Pradesh,Varanasi,Cotton,Annual,March,4.26,180,33,27,Clay,425,30.2,30.37
Uttar Pradesh,Lucknow,Cotton,Kharif,January,5.74,137,85,72,Clay,870,26.8,31.59
Tamil Nadu,Thanjavur,Corn,Kharif,June,5.16,56,66,84,Loamy,564,22.0,25.59
Andhra Pradesh,Kurnool,Cotton,Rabi,May,5.26,141,45,67,Black,982,27.9,38.06
West Bengal,Howrah,Sugarcane,Zaid,February,8.56,128,35,84,Sandy,1020,25.6,317.66
Andhra Pradesh,Nellore,Sugarcane,Annual,October,3.89,155,54,85,Black,625,22.6,396.88
Punjab,Ludhiana,Rice,Zaid,February,3.27,96,35,94,Clay,967,30.4,24.37
West Bengal,Kolkata,Wheat,Kharif,May,9.06,111,66,31,Red,439,20.4,28.1
Karnataka,Mysore,Wheat,Kharif,May,9.09,137,63,36,Loamy,625,27.5,33.09
Karnataka,Mandya,Sugarcane,Annual,January,3.96,110,64,90,Loamy,688,26.8,329.1
Karnataka,Mysore,Cotton,Kharif,November,6.43,173,94,45,Black,636,23.2,34.76
Andhra Pradesh,Nellore,Sugarcane,Rabi,November,2.54,153,44,99,Sandy,1013,32.0,334.68
Maharashtra,Pune,Cotton,Rabi,May,5.13,127,97,84,Clay,832,20.5,36.5
Karnataka,Mysore,Wheat,Zaid,November,9.63,117,63,61,Sandy,533,22.8,25.57
Andhra Pradesh,Nellore,Tomato,Rabi,April,9.62,106,47,38,Sandy,1055,28.6,177.23
Tamil Nadu,Salem,Wheat,Zaid,July,3.07,59,85,31,Red,475,29.5,18.68
West Bengal,Darjeeling,Tomato,Rabi,June,3.86,108,85,56,Clay,698,20.1,196.28
Tamil Nadu,Madurai,Cotton,Annual,December,6.27,104,100,36,Sandy,732,31.4,36.86
Uttar Pradesh,Varanasi,Tomato,Annual,May,3.86,78,83,31,Loamy,1132,31.4,189.62
Tamil Nadu,Salem,Rice,Rabi,November,3.07,136,92,24,Sandy,1163,30.5,26.96
Punjab,Ludhiana,Sugarcane,Zaid,February,6.95,176,73,76,Red,707,34.1,472.55
Uttar Pradesh,Lucknow,Sugarcane,Zaid,April,5.92,156,48,66,Red,624,27.6,392.44
Andhra Pradesh,Guntur,Cotton,Kharif,December,7.25,142,86,70,Clay,787,32.9,39.94
West Bengal,Kolkata,Sugarcane,Rabi,January,2.52,74,35,57,Black,1199,21.4,213.01
Uttar Pradesh,Lucknow,Sugarcane,Rabi,July,7.19,182,59,61,Sandy,606,32.8,416.49
Karnataka,Mandya,Sugarcane,Zaid,December,5.48,81,80,46,Red,822,33.7,317.23
Maharashtra,Nashik,Wheat,Annual,March,1.81,178,40,52,Black,433,25.0,31.39
West Bengal,Howrah,Sugarcane,Zaid,February,2.31,132,41,80,Red,456,28.3,316.4
Karnataka,Mysore,Wheat,Zaid,April,9.3,198,77,32,Clay,1145,26.3,45.07
West Bengal,Howrah,Cotton,Kharif,April,2.66,139,82,28,Black,402,23.2,27.35
West Bengal,Darjeeling,Corn,Annual,April,8.64,98,85,39,Clay,508,21.3,30.14
Maharashtra,Nagpur,Wheat,Zaid,January,8.54,128,46,88,Clay,1171,32.7,36.48
Karnataka,Belgaum,Rice,Kharif,November,7.61,73,34,44,Clay,750,26.1,20.83
Punjab,Amritsar,Corn,Rabi,March,8.79,73,36,46,Sandy,477,26.7,22.02
Punjab,Amritsar,Wheat,Kharif,February,9.38,174,64,79,Red,1056,24.0,44.42
Tamil Nadu,Madurai,Rice,Rabi,July,4.85,197,46,82,Sandy,529,24.1,31.86
Punjab,Ludhiana,Rice,Zaid,February,4.01,75,46,38,Clay,605,29.2,22.95
West Bengal,Kolkata,Wheat,Annual,March,3.46,124,79,38,Sandy,1094,20.5,30.16
